SALES,YEAR,QUART,ER,INDX2,INDX3,INDX5,INDX7,GDP12,GDP1
1.0000,2011,1q,29.16,48.77,55.10,47.63,56.23,0.0700,-0.1600
1.2196,2011,2q,28.01,47.33,54.39,50.57,56.06,0.0800,0.0700
1.4992,2011,3q,29.08,46.14,53.44,49.70,62.24,0.0900,0.1100
1.2881,2011,4q,31.24,48.37,52.97,43.90,54.20,0.1100,0.0500
1.3900,2012,1q,30.03,48.63,53.10,46.27,53.43,0.0800,-0.1600
1.5704,2012,2q,31.06,45.23,47.67,38.80,52.97,0.0800,0.0700
1.9316,2012,3q,32.00,44.83,47.47,38.77,50.13,0.0800,0.1000
1.8076,2012,4q,31.08,46.23,48.60,42.43,51.37,0.0700,0.0400
1.8822,2013,1q,30.42,48.23,49.70,44.00,49.53,0.0500,-0.1700
2.0888,2013,2q,31.66,48.53,49.80,46.60,54.03,0.0500,0.0700
2.4064,2013,3q,32.80,47.97,48.43,43.77,47.33,0.0400,0.1000
2.4760,2013,4q,32.54,48.57,49.80,44.27,52.03,0.0400,0.0500
2.2991,2014,1q,35.14,48.70,48.30,40.10,49.63,0.0100,-0.1800
2.2653,2014,2q,35.02,50.00,48.77,39.67,51.20,0.0200,0.0700
2.5261,2014,3q,36.16,47.97,51.47,43.47,51.43,0.0200,0.1000
2.1295,2014,4q,47.55,46.23,46.10,27.67,47.57,0.0300,0.0400
1.2804,2015,1q,63.19,43.00,42.33,28.50,53.40,-0.0200,-0.2100
1.4676,2015,2q,52.77,46.30,43.10,42.10,47.97,-0.0400,0.0500
1.7730,2015,3q,63.00,43.40,42.40,37.17,52.70,-0.0410,0.1057
